date,crime_type,state,Primary Category,Secondary Category,Months Difference
2010-01-01,"RAPE, ATTEMPTED",California,Sexual Offenses,RAPE,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179
2010-01-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179
2010-01-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,178
2010-02-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,178
2010-02-01,ROBBERY,California,Violent Crimes,ROBBERY,178
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BURGLARY,California,Property Crimes,BURGLARY,178
2010-02-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178
2010-03-01,ARSON,California,Miscellaneous Crimes,ARSON,177
2010-03-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,ROBBERY,California,Violent Crimes,ROBBERY,177
2010-03-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177
2010-03-01,BURGLARY,California,Property Crimes,BURGLARY,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,ROBBERY,California,Violent Crimes,ROBBERY,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,176
2010-04-01,KIDNAPPING - GRAND ATTEMPT,California,Violent Crimes,KIDNAPPING,176
2010-04-01,CRIMINAL HOMICIDE,California,Violent Crimes,HOMICIDE,176
2010-04-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,176
2010-04-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,176
2010-04-01,ROBBERY,California,Violent Crimes,ROBBERY,176
2010-04-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-04-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,176
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,BURGLARY,California,Property Crimes,BURGLARY,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,ROBBERY,California,Violent Crimes,ROBBERY,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,ROBBERY,California,Violent Crimes,ROBBERY,175
2010-05-01,KIDNAPPING,California,Violent Crimes,KIDNAPPING,175
2010-05-01,BURGLARY,California,Property Crimes,BURGLARY,175
2010-05-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,175
2010-05-01,ROBBERY,California,Violent Crimes,ROBBERY,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY WITH SEXUAL CONTACT,California,Violent Crimes,BATTERY,175
2010-05-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,175
2010-05-01,ROBBERY,California,Violent Crimes,ROBBERY,175
2010-05-01,ROBBERY,California,Violent Crimes,ROBBERY,175
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-05-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,175
2010-06-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-05-01,BURGLARY,California,Property Crimes,BURGLARY,175
2010-05-01,BURGLARY,California,Property Crimes,BURGLARY,175
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,BURGLARY,California,Property Crimes,BURGLARY,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,174
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,174
2010-06-01,OTHER ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,ROBBERY,California,Violent Crimes,ROBBERY,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-06-01,BURGLARY,California,Property Crimes,BURGLARY,174
2010-06-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,174
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,173
2010-07-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,173
2010-07-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,173
2010-07-01,ROBBERY,California,Violent Crimes,ROBBERY,173
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,172
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172
2010-08-01,BURGLARY,California,Property Crimes,BURGLARY,172
2010-08-01,BURGLARY,California,Property Crimes,BURGLARY,172
2010-08-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,172
2010-08-01,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,California,Violent Crimes,ASSAULT,172
2010-08-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,172
2010-08-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,172
2010-08-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,172
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172
2010-08-01,BURGLARY,California,Property Crimes,BURGLARY,172
2010-09-01,ROBBERY,California,Violent Crimes,ROBBERY,171
2010-09-01,ROBBERY,California,Violent Crimes,ROBBERY,171
2010-09-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,171
2010-09-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,171
2010-09-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,171
2010-09-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,171
2010-09-01,ROBBERY,California,Violent Crimes,ROBBERY,171
2010-09-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,171
2010-09-01,BURGLARY,California,Property Crimes,BURGLARY,171
2010-09-01,BURGLARY,California,Property Crimes,BURGLARY,171
2010-09-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,171
2010-09-01,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,171
2010-09-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,171
2010-09-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,171
2010-09-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,171
2010-09-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,171
2010-09-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,171
2010-10-01,ROBBERY,California,Violent Crimes,ROBBERY,170
2010-10-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,ROBBERY,California,Violent Crimes,ROBBERY,170
2010-10-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,170
2010-10-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,170
2010-10-01,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,California,Sexual Offenses,SEXUAL,170
2010-10-01,BURGLARY,California,Property Crimes,BURGLARY,170
2010-10-01,BURGLARY,California,Property Crimes,BURGLARY,170
2010-10-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,170
2010-10-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,170
2010-10-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,170
2010-11-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,169
2010-11-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,169
2010-11-01,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY,169
2010-11-01,CRIMINAL HOMICIDE,California,Violent Crimes,HOMICIDE,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,ROBBERY,California,Violent Crimes,ROBBERY,169
2010-11-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,169
2010-11-01,ARSON,California,Miscellaneous Crimes,ARSON,169
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-11-01,ROBBERY,California,Violent Crimes,ROBBERY,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,ROBBERY,California,Violent Crimes,ROBBERY,169
2010-11-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,169
2010-11-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,169
2010-12-01,BURGLARY,California,Property Crimes,BURGLARY,168
2010-12-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,168
2010-12-01,ROBBERY,California,Violent Crimes,ROBBERY,168
2010-12-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,168
2010-12-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,168
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179
